13198 libc.so.6->__rawmemchr(0x7bbdb7ed02e0, 0, 0x7ffc14eb4b40, 0x5ee8d0ff0038) = 0
13198 libc.so.6->strlen("")                                   = 104354065421376
13198 libc.so.6->_dl_audit_symbind_alt(1, 32, 1, 3)           = 0x5ee8d3001460
13198 libc.so.6->strcmp("GCONV_PATH", "\363\017\036\372\213G\020\205\300t\025SH\211\373H\213\177\b\377\023\307C\020") = 10
13198 libc.so.6->strspn("UTF-8//", "UCS-2LE//")               = 17
13198 libc.so.6->strspn("UTF-8//", "UTF-8//")                 = 0
13198 libc.so.6->strspn("INTERNAL", "8859_7//")               = 17
13198 libc.so.6->strspn("INTERNAL", "INTERNAL")               = 0
13198 libc.so.6->strspn("=utf8->INTERNAL", "=INTERNAL->ucs4") = 44
13198 libc.so.6->strspn("=utf8->INTERNAL", "=ucs4->INTERNAL") = 17
13198 libc.so.6->strspn("=utf8->INTERNAL", "=INTERNAL->ucs4le") = 44
13198 libc.so.6->strspn("=utf8->INTERNAL", "=ucs4le->INTERNAL") = 17
13198 libc.so.6->strspn("=utf8->INTERNAL", "=INTERNAL->utf8") = 44
13198 libc.so.6->strspn("=utf8->INTERNAL", "=utf8->INTERNAL") = 0
13198 libc.so.6->strspn("INTERNAL", "8859_7//")               = 17
13198 libc.so.6->strspn("INTERNAL", "INTERNAL")               = 0
13198 libc.so.6->strspn("UTF-8//", "UCS-2LE//")               = 17
13198 libc.so.6->strspn("UTF-8//", "UTF-8//")                 = 0
13198 libc.so.6->strspn("=INTERNAL->utf8", "=INTERNAL->ucs4") = 17
13198 libc.so.6->strspn("=INTERNAL->utf8", "=ucs4->INTERNAL") = 4294967252
13198 libc.so.6->strspn("=INTERNAL->utf8", "=INTERNAL->ucs4le") = 17
13198 libc.so.6->strspn("=INTERNAL->utf8", "=ucs4le->INTERNAL") = 4294967252
13198 libc.so.6->strspn("=INTERNAL->utf8", "=INTERNAL->utf8") = 0
13198 libc.so.6->strspn("grep", "grep")                       = 0
13198 libc.so.6->strcmp("LANGUAGE", "grep")                   = 8
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NGUAGE")           = "\350\351\352\353\354\355\356\357\360\361\362\363\364\365\366\367\370\371\372\373\374\375\376\377"
13198 libc.so.6->strcmp("grep", "NGUAGE")                     = 4
13198 libc.so.6->strcmp("LC_MESSAGES", "NGUAGE")              = 11
13198 libc.so.6->__nptl_change_stack_perm(0x7ffc14eb4620, 0x7bbdb7dbd493, 32, 0x7ffc14eb4640) = 0x7ffc14eb462b
13198 libc.so.6->__tls_get_addr(0x7ffc14eb462c, 0x5ee8d3001440, 4, 0) = 0x7ffc14eb4630
13198 libc.so.6->strcmp("en_US.UTF-8", "ghijklmnopqrstuvwxyz{|}~\177\200\201\202\203\204\205\206"...) = 11
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("/usr/local/share/locale", "en_US.UTF-8") = 23
13198 libc.so.6->strcmp("en_US.UTF-8", "/usr/local/share/locale") = 11
13198 libc.so.6->strcmp("LC_MESSAGES/grep.mo", "/usr/local/share/locale") = 19
13198 libc.so.6->strlen("")                                   = 104354065421904
13198 libc.so.6->strcmp("/usr/local/share/locale", "/usr/local/share/locale") = 23
13198 libc.so.6->__nptl_change_stack_perm(0x5ee8d3001668, 0x7ffc14eb4600, 0xf8ffffffff800000, 0) = 0x5ee8d3001673
13198 libc.so.6->strlen("")                                   = 104354065421940
13198 libc.so.6->__tls_get_addr(0x7ffc14eb42c0, 0x7bbdb7dd8523, 17, 48) = 0x7ffc14eb42d1
13198 libc.so.6->strcpy(0x7bbdb7dd8055, ",-./0123456789:;<=>?@ABCDEFGHIJK"...) = 0
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001871, 10, 398, 0x7bbdb7d19b28) = 0x5ee8d300188e
13198 libc.so.6->strlen("-\f\022")                            = 140720659448641
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb435e
13198 libc.so.6->_dl_allocate_tls(0x5ee8d300188f, 10, 399, 10) = 0x5ee8d30018c7
13198 libc.so.6->strlen("# Locale name alias data base.\n")   = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4378
13198 libc.so.6->_dl_allocate_tls(0x5ee8d30018c8, 10, 399, 10) = 0x5ee8d30018c9
13198 libc.so.6->strlen("# Copyright (C) 1996-2022 Free S"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4341
13198 libc.so.6->_dl_allocate_tls(0x5ee8d30018ca, 10, 399, 10) = 0x5ee8d3001910
13198 libc.so.6->strlen("#\n")                                = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4386
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001911, 10, 399, 10) = 0x5ee8d3001957
13198 libc.so.6->strlen("# This program is free software;"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4386
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001958, 10, 399, 10) = 0x5ee8d300199d
13198 libc.so.6->strlen("# it under the terms of the GNU "...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4385
13198 libc.so.6->_dl_allocate_tls(0x5ee8d300199e, 10, 399, 10) = 0x5ee8d30019b2
13198 libc.so.6->strlen("# the Free Software Foundation; "...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4354
13198 libc.so.6->_dl_allocate_tls(0x5ee8d30019b3, 10, 399, 10) = 0x5ee8d30019b4
13198 libc.so.6->strlen("# any later version.\n")             = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4341
13198 libc.so.6->_dl_allocate_tls(0x5ee8d30019b5, 10, 399, 10) = 0x5ee8d30019f6
13198 libc.so.6->strlen("#\n")                                = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4381
13198 libc.so.6->_dl_allocate_tls(0x5ee8d30019f7, 10, 399, 10) = 0x5ee8d3001a37
13198 libc.so.6->strlen("# This program is distributed in"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4380
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001a38, 10, 399, 10) = 0x5ee8d3001a77
13198 libc.so.6->strlen("# but WITHOUT ANY WARRANTY; with"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb437f
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001a78, 10, 399, 10) = 0x5ee8d3001aa6
13198 libc.so.6->strlen("# MERCHANTABILITY or FITNESS FOR"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb436e
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001aa7, 10, 399, 10) = 0x5ee8d3001aa8
13198 libc.so.6->strlen("# GNU General Public License for"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4341
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001aa9, 10, 399, 10) = 0x5ee8d3001aec
13198 libc.so.6->strlen("#\n")                                = 140720659448640
